SITE_ID,DATEON,DATEOFF,variable_SO2,variable_SO4,variable_HNO3,variable_NO3,variable_TNO3,variable_NH4,variable_CA,variable_K,variable_MG,variable_Sodium,days_on_to_off,valid_on_off,days_to_next,valid_interval,imputation_data
ABT147,2001-08-14,2001-08-21,2.143,5.169,2.405,0.386,2.753,1.593,0.081,0.061,0.042,0.279,7,True,7.0,True,False
ABT147,2001-08-21,2001-08-28,3.017,5.19,2.38,0.454,2.796,1.627,0.08,0.06,0.052,0.334,7,True,7.0,True,False
ABT147,2001-08-28,2001-09-04,1.208,2.889,1.319,0.516,1.814,1.024,0.052,0.05,0.032,0.205,7,True,7.0,True,False
ABT147,2001-09-04,2001-09-11,2.128,2.713,2.624,0.589,3.171,0.88,0.098,0.05,0.046,0.314,7,True,7.0,True,False
ABT147,2001-09-11,2001-09-18,1.788,1.473,1.266,0.393,1.639,0.602,0.097,0.033,0.019,0.112,7,True,7.0,True,False
ABT147,2001-09-18,2001-09-25,0.939,5.78,2.289,0.135,2.388,1.623,0.06,0.053,0.044,0.284,7,True,7.0,True,False
ABT147,2001-09-25,2001-10-02,2.924,2.073,1.169,0.629,1.78,0.709,0.072,0.056,0.048,0.449,7,True,7.0,True,False
ABT147,2001-10-02,2001-10-09,4.863,5.236,3.237,1.188,4.374,1.839,0.301,0.086,0.066,0.254,7,True,7.0,True,False
ABT147,2001-10-09,2001-10-16,3.223,3.224,4.068,0.291,4.295,1.007,0.093,0.044,0.04,0.238,7,True,7.0,True,False
ABT147,2001-10-16,2001-10-23,4.657,2.601,2.81,0.739,3.504,0.912,0.123,0.054,0.043,0.24,7,True,7.0,True,False
ABT147,2001-10-23,2001-10-30,4.661,2.549,1.917,0.441,2.327,0.826,0.122,0.037,0.044,0.346,7,True,7.0,True,False
ABT147,2001-10-30,2001-11-06,3.162,2.255,0.956,1.966,2.906,0.866,0.139,0.053,0.08,0.632,7,True,7.0,True,False
ABT147,2001-11-06,2001-11-13,4.886,1.589,1.583,0.937,2.495,0.707,0.141,0.04,0.034,0.102,7,True,7.0,True,False
ABT147,2001-11-13,2001-11-20,14.278,3.873,2.526,4.14,6.625,2.253,0.23,0.089,0.099,0.652,7,True,7.0,True,False
ABT147,2001-11-20,2001-11-27,5.905,2.146,1.636,1.833,3.444,1.09,0.111,0.05,0.048,0.382,7,True,7.0,True,False
ABT147,2001-11-27,2001-12-04,3.982,3.45,1.693,1.316,2.982,1.369,0.072,0.048,0.045,0.309,7,True,7.0,True,False
ABT147,2001-12-04,2001-12-11,9.673,2.097,2.421,0.973,3.355,0.885,0.107,0.046,0.03,0.147,7,True,7.0,True,False
ABT147,2001-12-11,2001-12-18,4.279,2.257,0.878,1.478,2.341,1.05,0.047,0.053,0.042,0.375,7,True,7.0,True,False
ABT147,2001-12-18,2001-12-25,3.217,1.38,0.872,0.802,1.66,0.683,0.039,0.034,0.014,0.087,7,True,7.0,True,False
ABT147,2001-12-25,2002-01-01,11.253,2.347,1.901,1.684,3.555,1.264,0.097,0.055,0.022,0.296,7,True,7.0,True,False
ABT147,2002-01-01,2002-01-08,9.822,2.156,1.214,2.046,3.241,1.262,0.134,0.048,0.033,0.178,7,True,7.0,True,False
ABT147,2002-01-08,2002-01-15,7.896,1.926,1.558,1.48,3.012,0.9,0.074,0.042,0.022,0.392,7,True,7.0,True,False
ABT147,2002-01-15,2002-01-22,8.031,2.914,2.325,1.176,3.464,1.256,0.06,0.043,0.014,0.175,7,True,7.0,True,False
ABT147,2002-01-22,2002-01-29,14.856,2.394,2.948,1.854,4.755,1.121,0.211,0.049,0.039,0.192,7,True,7.0,True,False
ABT147,2002-01-29,2002-02-05,4.923,2.442,1.475,1.245,2.697,1.074,0.091,0.045,0.022,0.147,7,True,7.0,True,False
ABT147,2002-02-05,2002-02-12,5.64,1.946,1.188,2.272,3.441,1.159,0.102,0.05,0.053,0.388,7,True,7.0,True,False
ABT147,2002-02-12,2002-02-19,6.214,1.612,1.131,1.871,2.984,0.758,0.111,0.044,0.057,0.436,7,True,7.0,True,False
ABT147,2002-02-19,2002-02-26,4.795,2.506,1.589,1.226,2.79,0.854,0.079,0.052,0.068,0.637,7,True,7.0,True,False
ABT147,2002-02-26,2002-03-05,4.884,2.531,1.565,1.645,3.185,0.842,0.114,0.051,0.069,0.55,7,True,7.0,True,False
ABT147,2002-03-05,2002-03-12,6.769,3.947,3.368,1.485,4.799,1.2,0.175,0.07,0.083,0.525,7,True,7.0,True,False
ABT147,2002-03-12,2002-03-19,4.793,3.94,3.047,1.325,4.323,1.494,0.074,0.06,0.048,0.353,7,True,7.0,True,False
ABT147,2002-03-19,2002-03-26,4.288,2.122,2.138,1.24,3.344,0.892,0.156,0.04,0.039,0.323,7,True,7.0,True,False
ABT147,2002-03-26,2002-04-02,2.74,2.492,1.815,0.466,2.253,0.811,0.08,0.036,0.042,0.308,7,True,7.0,True,False
ABT147,2002-04-02,2002-04-09,2.178,2.719,0.717,1.529,2.235,0.952,0.149,0.064,0.099,0.686,7,True,7.0,True,False
ABT147,2002-04-09,2002-04-16,1.1456,1.3541,0.9453,0.624,1.5541,0.4432,0.134,0.0446,0.0521,0.2867,7,True,7.0,True,True
ABT147,2002-04-16,2002-04-23,3.276,4.583,3.007,0.5,3.459,1.604,0.186,0.059,0.046,0.175,7,True,7.0,True,False
ABT147,2002-04-23,2002-04-30,1.14,1.381,1.239,0.52,1.739,0.552,0.097,0.034,0.024,0.092,7,True,7.0,True,False
ABT147,2002-04-30,2002-05-07,2.751,2.436,2.231,0.514,2.71,0.911,0.093,0.036,0.03,0.141,7,True,7.0,True,False
ABT147,2002-05-07,2002-05-14,1.982,1.721,1.604,0.52,2.099,0.597,0.107,0.046,0.039,0.173,7,True,7.0,True,False
ABT147,2002-05-14,2002-05-21,2.577,1.7,1.545,0.263,1.783,0.713,0.082,0.034,0.02,0.054,7,True,7.0,True,False
ABT147,2002-05-21,2002-05-28,0.8635,1.7695,1.042,0.3907,1.4159,0.575,0.1015,0.0644,0.0444,0.236,7,True,7.0,True,True
ABT147,2002-05-28,2002-06-04,3.227,6.713,4.668,0.2,4.793,1.589,0.285,0.124,0.119,0.676,7,True,7.0,True,False
ABT147,2002-06-04,2002-06-11,1.968,2.556,1.685,0.445,2.103,0.691,0.075,0.067,0.053,0.362,7,True,7.0,True,False
ABT147,2002-06-11,2002-06-18,1.947,4.33,2.683,0.105,2.745,1.378,0.053,0.045,0.024,0.13,7,True,7.0,True,False
