SITE_ID,LATITUDE,LONGITUDE
ME98,44.3772,-68.2608
ME00,46.8675,-68.0134
ME97,46.6964,-68.0332
ME09,45.4891,-69.6647
MD03,39.4089,-76.9953
MD13,38.9131,-76.1525
MA08,42.3925,-72.3444
MA13,42.3845,-71.2146
MI98,46.3723,-84.7434
MI22,47.2269,-88.6308
MI99,47.1046,-88.5516
MI25,47.9153,-89.1525
MI97,48.0575,-88.6342
MI53,44.2242,-85.8186
MN01,45.4017,-93.2031
MN05,46.7131,-92.5108
MN08,47.8471,-89.965
MN16,47.5311,-93.4686
MN99,47.3841,-91.2067
MN23,46.2494,-94.4972
MN27,44.237,-95.3011
MN28,46.1217,-93.0001
MS10,32.3069,-90.3186
MS14,32.3344,-88.745
MS19,32.3269,-89.2086
MS30,34.0025,-89.7993
MO03,38.754,-92.1994
MO05,36.9108,-90.3187
MO50,37.3986,-93.0425
MT00,45.5701,-107.438
MT99,48.7411,-113.43
MT05,48.5102,-113.997
MT98,48.5007,-109.798
MT07,46.485,-112.0647
MT97,45.692,-113.968
MT13,48.4886,-105.2083
NE15,41.1528,-96.4912
NE99,41.0592,-100.7464
NV01,41.2853,-115.8522
NV03,38.7992,-119.2567
NV05,39.0054,-114.217
NH02,43.9433,-71.7029
NJ29,40.3456,-74.6169
NJ99,40.3154,-74.8536
NM01,33.2203,-108.2347
NM08,32.9096,-105.471
NM09,36.0408,-106.9714
NM12,36.779,-103.981
NY08,42.7339,-76.6597
NY10,42.2994,-79.3964
NY20,43.9731,-74.2231
NY51,41.35,-74.0394
NY99,41.4148,-74.0126
NY52,43.5282,-75.9492
NY65,42.1064,-77.5358
NY68,41.9936,-74.5031
NC11,35.9025,-78.87
NC25,35.0605,-83.4305
NC33,35.8964,-78.8606
WA99,46.7582,-122.1243
PA37,39.8161,-80.285
OK08,36.3481,-94.8239
MN32,48.4132,-92.8305
CA96,40.539,-121.5772
MT96,48.3149,-105.144
CA95,36.589,-116.978
WV99,39.1191,-79.4522
MD18,38.251,-75.1593
CA67,34.0695,-116.3889
MI48,46.2889,-85.9504
ND00,46.8951,-103.378
AL02,30.7907,-87.8498
MO43,38.5185,-90.5652
SC05,32.943,-79.6592
SC03,33.245,-81.6505
IN21,38.7622,-85.4202
PA60,40.1166,-75.8833
PA30,42.1558,-80.1134
AL03,32.9034,-87.2499
CA72,37.4276,-122.0624
GA40,33.9282,-85.0451
LA23,31.1698,-92.3971
AL24,30.4746,-88.1411
GA22,33.7769,-84.4139
IN28,39.1464,-86.6133
CA50,39.4315,-120.2397
BC06,49.1,-123.17
ME04,45.0803,-70.2118
TX39,27.7125,-97.3291
SC99,32.7508,-79.8975
HI00,19.5392,-155.5792
SC07,32.5993,-80.4554
MI29,45.0289,-85.6292
AZ97,34.8224,-109.8925
HI99,19.4194,-155.2403
WA98,45.5694,-122.21
MO46,36.9716,-90.1433
MN22,46.2053,-93.7589
ME95,45.3406,-67.9876
GA98,31.9958,-81.0185
WY07,44.5654,-110.4003
NC29,34.825,-77.3228
ON11,43.8428,-77.1536
KY10,37.1317,-86.148
VA27,38.3034,-78.8178
VA99,37.6265,-79.5126
MS22,30.9849,-88.9321
SK12,50.2003,-104.7111
TX50,32.6932,-97.2496
WI31,43.4352,-89.6801
SD04,43.5577,-103.484
